(title "Static Temperature")
(labels "Position" "Static Temperature")

((xy/key/label "line-x-0.5")
-0.0257	299
-0.0239149	299.211
-0.0154405	304.301
-0.0124837	309.848
-0.0239149	299.211
-0.0202652	300.266
-0.0154405	304.301
-0.00936376	320.408
-0.0124837	309.848
-0.00826717	326.436
-0.00739723	331.415
-0.00724481	332.326
-0.00670584	335.332
-0.00615428	338.511
-0.00592597	339.894
-0.00573911	341.026
-0.00541582	343.114
-0.00516467	344.987
-0.00496871	347.231
0.0233	298.731
0.0213684	298.85
0.0177172	299.895
0.0149965	301.827
0.0136624	302.85
0.00962457	309.452
0.00684429	319.259
0.00575538	325.506
0.00487125	330.583
0.00419126	334.666
0.00375004	337.422
0.00368074	337.845
0.00326123	340.545
0.00294129	342.85
0.00269729	344.807
0.00250694	347.123
0.00191789	347.613
0.00250694	347.126
0.00109424	348.534
0.000763974	348.907
9.86731e-05	349.605
-0.000825553	350.225
-0.00129138	350.371
-0.00135563	350.364
-0.00187171	350.087
-0.00259148	349.573
-0.00279389	349.371
-0.00350473	348.618
-0.00429939	347.795
-0.00491286	347.28
-0.00496871	347.234
)

((xy/key/label "line-x0")
0.0233	300.072
0.0216656	300.297
0.0156845	303.477
0.0119968	307.782
0.0109096	309.729
0.00985079	311.69
0.00957293	312.244
0.00690717	320.921
0.0057932	326.739
0.0054076	328.9
0.00110411	349.588
0.00055682	350.25
0.00193163	348.572
0.00229527	348.245
-0.0257	300.346
-0.0238245	300.698
-0.0228519	301.265
-0.0194071	303.293
-0.0140246	309.445
-0.0138989	309.717
-0.0118146	314.789
-0.00941441	322.661
-0.00829617	328.04
-0.00798391	329.671
-0.0074299	332.511
-0.00672725	336.205
-0.00618592	339.3
-0.00577056	341.857
-0.00547531	343.85
-0.00544592	344.048
-0.0051915	345.93
-0.00510094	346.874
-0.00496256	348.31
0.00493071	331.57
0.0054076	328.9
0.00423625	335.5
0.0037002	338.787
0.00329216	341.489
0.00298367	343.688
0.00275632	345.653
0.00255947	347.999
0.00055682	350.25
0.000123446	350.755
-0.000844536	351.477
-0.00122733	351.647
-0.00162781	351.422
-0.0025205	350.782
-0.00292862	350.346
-0.00347046	349.759
-0.00429525	348.847
-0.00496256	348.313
0.00229527	348.245
0.00255947	348.003
)

((xy/key/label "line-x0.5")
-0.0122258	316.148
-0.00934124	324.376
-0.00859157	327.685
-0.0158898	309.605
-0.0126519	315.265
-0.0183766	306.264
0.00921189	315.928
0.00694954	322.687
0.005822	327.707
0.00491347	332.129
0.00422066	335.998
0.00389493	338.019
0.00368564	339.313
0.00326934	342.132
0.00295158	344.622
0.00270816	346.786
0.00252814	349.337
0.00252814	349.341
0.00192469	349.811
0.00117085	350.812
0.000752259	351.323
-0.00467182	349.764
-0.00428909	350.097
-0.00342407	351.133
-0.00277969	351.843
-0.0257	301.56
-0.0233321	302.311
-0.0183766	306.264
-0.0126519	315.265
-0.0122258	316.148
-0.00859159	327.685
-0.00820617	329.412
-0.00733642	333.713
-0.00665962	337.312
-0.00613834	340.377
-0.00572843	343.001
-0.00541259	345.176
-0.00516805	347.077
-0.00496202	349.503
0.0212872	302.238
0.0233	301.637
0.0165237	305.526
0.015623	306.307
0.0115507	311.235
0.00921188	315.928
-0.00496202	349.507
-0.00467182	349.764
0.000752259	351.323
0.000236324	351.969
-0.000582978	352.72
-0.000855569	352.969
-0.000901646	352.979
-0.00127487	352.893
-0.00241221	352.243
-0.00277969	351.843
)
