"mass-rfile"
"Iteration" "mass"
("Iteration" "mass(inlet)" "mass(outlet-oil)")
2948 0.02622239847736852 -0.02622218077450807
2949 0.02622239847736852 -0.02622220862413673
2950 0.02622239847736852 -0.02622222716889317
2951 0.02622239847736852 -0.02622224020941585
2952 0.02622239847736852 -0.02622224290220301
2953 0.02622239847736852 -0.02622224978150071
2954 0.02622239847736852 -0.02622225889230731
2955 0.02622239847736852 -0.02622226550018285
2956 0.02622239847736852 -0.02622227672735034
2957 0.02622239847736852 -0.02622228192198405
2958 0.02622239847736852 -0.02622229244451528
2959 0.02622239847736852 -0.02622229721816995
2960 0.02622239847736852 -0.02622230237371105
2961 0.02622239847736852 -0.02622230353801069
2962 0.02622239847736852 -0.02622230988363584
2963 0.02622239847736852 -0.02622230822465717
2964 0.02622239847736852 -0.02622229940047724
2965 0.02622239847736852 -0.02622230754760767
2966 0.02622239847736852 -0.02622230670461186
2967 0.02622239847736852 -0.02622230515215296
2968 0.02622239847736852 -0.02622230636627549
2969 0.02622239847736852 -0.0262223080028262
2970 0.02622239847736852 -0.02622230246574002
2971 0.02622239847736852 -0.02622230534357397
2972 0.02622239847736852 -0.02622230514886508
2973 0.02622239847736852 -0.02622230929987697
2974 0.02622239847736852 -0.02622231256270467
2975 0.02622239847736852 -0.02622230606627724
2976 0.02622239847736852 -0.02622231482625504
2977 0.02622239847736852 -0.02622231370832574
2978 0.02622239847736852 -0.02622232185786746
2979 0.02622239847736852 -0.02622232728846461
2980 0.02622239847736852 -0.02622233288611717
2981 0.02622239847736852 -0.02622233817258584
2982 0.02622239847736852 -0.02622234593002162
2983 0.02622239847736852 -0.02622235671210862
2984 0.02622239847736852 -0.02622236114290508
2985 0.02622239847736852 -0.02622236585542111
2986 0.02622239847736852 -0.0262223714891791
2987 0.02622239847736852 -0.0262223759518288
2988 0.02622239847736852 -0.02622238032100177
2989 0.02622239847736852 -0.02622238047194156
2990 0.02622239847736852 -0.02622238453853382
2991 0.02622239847736852 -0.02622238664340637
2992 0.02622239847736852 -0.02622238710909475
2993 0.02622239847736852 -0.02622238646869555
2994 0.02622239847736852 -0.02622238582850789
2995 0.02622239847736852 -0.02622238362027772
2996 0.02622239847736852 -0.02622238024861744
2997 0.02622239847736852 -0.02622237507315411
2998 0.02622239847736852 -0.02622237110953754
2999 0.02622239847736852 -0.02622236780118014
3000 0.02622239847736852 -0.02622236124039138
3001 0.02622239847736852 -0.02622235409695507
3002 0.02622239847736852 -0.02622235035733857
3003 0.02622239847736852 -0.02622234176347765
3004 0.02622239847736852 -0.02622233542269028
3005 0.02622239847736852 -0.02622232806241673
3006 0.02622239847736852 -0.02622231774124396
3007 0.02622239847736852 -0.02622230909082182
3008 0.02622239847736852 -0.02622230170742345
3009 0.02622239847736852 -0.02622229454437513
3010 0.02622239847736852 -0.02622228665307899
3011 0.02622239847736852 -0.02622227971652752
3012 0.02622239847736852 -0.02622228271286054
3013 0.02622239847736852 -0.02622227130265748
3014 0.02622239847736852 -0.02622226467790078
3015 0.02622239847736852 -0.02622226233576301
3016 0.02622239847736852 -0.02622225883193959
3017 0.02622239847736852 -0.02622225356637673
3018 0.02622239847736852 -0.0262222538060745
3019 0.02622239847736852 -0.02622225461692937
3020 0.02622239847736852 -0.02622226403672189
3021 0.02622239847736852 -0.02622226425597171
3022 0.02622239847736852 -0.02622226756195973
3023 0.02622239847736852 -0.02622227318102311
3024 0.02622239847736852 -0.02622227801544045
3025 0.02622239847736852 -0.02622228362563948
3026 0.02622239847736852 -0.02622228557433511
3027 0.02622239847736852 -0.02622229231562782
3028 0.02622239847736852 -0.02622229635233528
3029 0.02622239847736852 -0.02622230809747444
3030 0.02622239847736852 -0.02622230873587815
3031 0.02622239847736852 -0.02622231520631866
3032 0.02622239847736852 -0.0262223185638647
3033 0.02622239847736852 -0.02622231980932997
3034 0.02622239847736852 -0.02622232314502361
3035 0.02622239847736852 -0.02622232695918822
3036 0.02622239847736852 -0.02622232859013825
